shipment_id,source_row,quality_score,selected,conflict_columns,resolution
SHP-00056881,7,15,True,,exact duplicate; retained first source row
SHP-00056881,61511,15,False,,exact duplicate; retained first source row
SHP-00063160,14,15,True,,exact duplicate; retained first source row
SHP-00063160,87878,15,False,,exact duplicate; retained first source row
SHP-00059156,35,15,True,,exact duplicate; retained first source row
SHP-00059156,67177,15,False,,exact duplicate; retained first source row
SHP-00069971,41,15,True,,exact duplicate; retained first source row
SHP-00069971,77585,15,False,,exact duplicate; retained first source row
SHP-00069589,62,15,True,,exact duplicate; retained first source row
SHP-00069589,25610,15,False,,exact duplicate; retained first source row
SHP-00046842,64,15,True,,exact duplicate; retained first source row
SHP-00046842,24193,15,False,,exact duplicate; retained first source row
SHP-00082849,82,15,True,freight_cost_usd,retained highest-quality copy; conflict in freight_cost_usd
SHP-00082849,7103,11,False,freight_cost_usd,retained highest-quality copy; conflict in freight_cost_usd
SHP-00056973,124,15,True,,exact duplicate; retained first source row
SHP-00056973,76256,15,False,,exact duplicate; retained first source row
SHP-00026134,147,15,True,,exact duplicate; retained first source row
SHP-00026134,41965,15,False,,exact duplicate; retained first source row
SHP-00017629,157,15,True,,exact duplicate; retained first source row
SHP-00017629,24825,15,False,,exact duplicate; retained first source row
SHP-00061500,160,15,True,,exact duplicate; retained first source row
SHP-00061500,62389,15,False,,exact duplicate; retained first source row
SHP-00043274,196,15,True,,exact duplicate; retained first source row
SHP-00043274,43831,15,False,,exact duplicate; retained first source row
SHP-00048095,216,15,True,,exact duplicate; retained first source row
SHP-00048095,77174,15,False,,exact duplicate; retained first source row
SHP-00065362,222,15,True,,exact duplicate; retained first source row
SHP-00065362,6516,15,False,,exact duplicate; retained first source row
SHP-00060499,224,14,True,,exact duplicate; retained first source row
SHP-00060499,77219,14,False,,exact duplicate; retained first source row
SHP-00016078,241,14,True,,exact duplicate; retained first source row
SHP-00016078,37565,14,False,,exact duplicate; retained first source row
SHP-00006018,253,15,True,,exact duplicate; retained first source row
SHP-00006018,58380,15,False,,exact duplicate; retained first source row
SHP-00028835,254,15,True,,exact duplicate; retained first source row
SHP-00028835,30711,15,False,,exact duplicate; retained first source row
SHP-00041444,256,10,False,freight_cost_usd,retained highest-quality copy; conflict in freight_cost_usd
SHP-00041444,40943,14,True,freight_cost_usd,retained highest-quality copy; conflict in freight_cost_usd
SHP-00005196,257,15,True,,exact duplicate; retained first source row
SHP-00005196,32381,15,False,,exact duplicate; retained first source row
SHP-00032152,290,15,True,,exact duplicate; retained first source row
SHP-00032152,50911,15,False,,exact duplicate; retained first source row
SHP-00034497,304,14,True,,exact duplicate; retained first source row
