repair,rows_affected
duplicate_rows_removed,2580
transport_mode_values_normalized,1671
shipment_weights_recovered_from_total_divided_by_cost_per_kg,1670
delivered_actual_arrival_dates_recovered,2335
transit_days_actual_recalculated,0
delay_days_recalculated,5951
delay_flags_recalculated,0
late_shipments_assigned_unknown_delay_reason,2629
negative_freight_signs_corrected,826
eightfold_fuel_surcharge_corruptions_corrected,2580
total_logistics_cost_values_recalculated,0
cost_per_kg_values_recalculated,0
