supplier_rank,vendor_id,vendor_name,vendor_region,vendor_category,as_of_month,months_in_dynamic_window,otd_score,quality_score,risk_performance_score,cost_efficiency_score,lead_time_score,dynamic_supplier_score,vris_score,defect_rate_pct,lead_time_avg_days,contract_lead_time_days,financial_stability_score,past_disruption_count,active_dispute_flag,preferred_vendor_flag,recent_3m_score,prior_3m_score,score_change_3m,trend_class,procurement_spend_12m_usd,spend_percentile,supplier_risk_class,replacement_candidate,recommended_tier,category_rank
3,VND-000105,Hernandez and Sons,MEA,Packaging,2024-12-01,6,92.01,93.64,51.92,56.93,95.1,79.52,81.02,0.002,45.8,48,56.72,0,0,0,77.48,85.24,-7.76,Deteriorating,457890.69,0.27,High,False,Approved,1
4,VND-000755,"Keller, Reid and Le",APAC,Services,2024-12-01,6,89.82,95.15,44.47,53.19,97.31,77.45,84.15,0.091,47.66,54,69.12,3,0,1,76.1,78.18,-2.08,Deteriorating,863189.52,0.72,High,False,Approved,1
13,VND-000343,"Hanna, Davis and Jackson",EMEA,Packaging,2024-12-01,6,98.59,92.08,27.13,54.73,93.29,75.62,78.13,0.164,33.72,34,61.51,0,0,1,73.3,78.98,-5.68,Deteriorating,905757.94,0.74,High,False,Approved,2
16,VND-000443,Green-Singleton,Americas,Services,2024-12-01,6,96.05,91.39,23.69,61.44,95.03,75.3,78.27,0.055,17.42,16,70.98,2,0,1,73.78,79.46,-5.68,Deteriorating,227812.08,0.03,High,False,Approved,6
19,VND-001071,Curtis Group,MEA,Industrial Parts,2024-12-01,6,96.38,96.71,29.57,41.95,95.25,74.75,76.61,0.063,66.58,57,47.4,0,0,0,74.05,76.3,-2.25,Deteriorating,378555.1,0.17,High,False,Approved,1
27,VND-001011,"Carter, Acevedo and Dennis",Americas,Industrial Parts,2024-12-01,6,89.12,83.18,38.14,62.81,91.5,74.15,74.98,0.15,49.01,40,52.47,0,0,0,69.86,82.08,-12.22,Deteriorating,574500.35,0.47,High,False,Approved,2
29,VND-000065,"Herring, Pratt and Kelley",APAC,Raw Materials,2024-12-01,6,95.75,96.76,21.26,51.07,93.88,74.07,91.59,0.0,20.44,21,71.21,0,0,1,73.4,75.47,-2.08,Deteriorating,578482.57,0.47,High,False,Approved,8
30,VND-001082,"Brock, Hendricks and Campbell",MEA,Packaging,2024-12-01,6,89.58,97.18,19.47,67.28,91.76,74.06,78.54,0.0,52.98,42,49.75,0,0,1,73.24,75.53,-2.29,Deteriorating,550814.98,0.43,High,False,Approved,4
33,VND-001149,Burnett-Stevens,EMEA,Raw Materials,2024-12-01,6,90.06,93.74,35.12,44.58,95.38,73.78,87.12,0.015,12.06,11,94.87,0,0,1,69.42,81.64,-12.23,Deteriorating,2373807.88,0.97,High,False,Approved,10
37,VND-000707,"Warren, Gallegos and Berry",APAC,Industrial Parts,2024-12-01,6,95.24,94.54,19.61,50.01,95.37,73.21,85.33,0.005,25.61,24,83.73,0,1,0,72.27,74.4,-2.13,Deteriorating,1522885.67,0.93,Critical,True,Replace,4
38,VND-001184,Williams-Roberts,MEA,Industrial Parts,2024-12-01,6,91.63,96.81,26.47,47.02,93.27,73.19,83.22,0.0,13.8,14,67.00999999999999,1,1,1,71.69,77.2,-5.5,Deteriorating,654352.73,0.56,Critical,True,Replace,5
48,VND-000025,Torres Ltd,EMEA,Industrial Parts,2024-12-01,6,87.39,83.88,22.99,76.99,89.38,72.55,77.66,0.125,12.11,10,40.93,0,0,0,71.32,73.81,-2.49,Deteriorating,193807.89,0.01,High,False,Approved,8
51,VND-000356,Sanchez PLC,EMEA,Logistics,2024-12-01,6,82.32,83.42,42.39,61.04,89.55,72.45,79.55,0.035,46.18,34,62.92,0,0,0,71.43,74.72,-3.29,Deteriorating,1014729.09,0.78,High,False,Approved,9
53,VND-001172,Bell-Galvan,Americas,Packaging,2024-12-01,6,97.17,93.05,21.85,45.23,89.44,72.33,84.78,0.03,56.38,50,100.0,1,0,1,70.74,76.62,-5.88,Deteriorating,223436.91,0.03,High,False,Approved,9
55,VND-001115,Russell-Wilson,Americas,Industrial Parts,2024-12-01,6,88.45,84.92,40.89,49.12,88.32,72.31,81.8,0.249,33.41,27,82.66,0,0,0,67.24,82.52,-15.28,Deteriorating,1237382.34,0.85,High,False,Approved,9
65,VND-000554,Baker PLC,MEA,Electronics,2024-12-01,6,80.89,89.03,28.71,63.41,95.99,71.73,72.19,0.229,20.9,26,53.52,0,0,0,69.82,75.49,-5.66,Deteriorating,1179572.58,0.83,High,False,Approved,9
66,VND-000896,Ray-Hernandez,Americas,Electronics,2024-12-01,6,89.39,85.47,28.57,51.09,96.24,71.72,85.23,0.015,11.61,12,90.51,0,0,0,71.38,73.5,-2.12,Deteriorating,215207.63,0.02,High,False,Approved,10
76,VND-000189,"Rivera, Graves and Huang",APAC,Services,2024-12-01,6,78.94,86.01,54.93,39.43,89.73,71.24,15.18,0.006,70.38,54,68.66,1,0,0,68.86,75.29,-6.43,Deteriorating,228736.07,0.04,Medium,False,Approved,13
77,VND-000932,Jones-Wall,MEA,Raw Materials,2024-12-01,6,76.56,74.78,54.64,55.01,93.92,71.19,17.82,0.279,32.64,40,61.23,0,0,0,69.07,73.28,-4.21,Deteriorating,1312538.95,0.88,Medium,False,Approved,14
78,VND-000957,Velez-Bush,APAC,Industrial Parts,2024-12-01,6,87.22,86.69,20.93,59.39,97.25,71.19,75.01,0.061,44.84,45,51.22,1,0,0,70.25,72.44,-2.19,Deteriorating,581359.35,0.47,High,False,Approved,18
81,VND-000182,Hensley-Harvey,EMEA,Logistics,2024-12-01,6,87.62,84.57,24.95,55.95,96.53,71.06,82.85,0.064,30.06,32,89.48,0,0,0,69.95,74.54,-4.59,Deteriorating,478338.95,0.32,High,False,Approved,15
