supplier_rank,vendor_id,vendor_name,vendor_region,vendor_category,as_of_month,months_in_dynamic_window,otd_score,quality_score,risk_performance_score,cost_efficiency_score,lead_time_score,dynamic_supplier_score,vris_score,defect_rate_pct,lead_time_avg_days,contract_lead_time_days,financial_stability_score,past_disruption_count,active_dispute_flag,preferred_vendor_flag,recent_3m_score,prior_3m_score,score_change_3m,trend_class,procurement_spend_12m_usd,spend_percentile,supplier_risk_class,replacement_candidate,recommended_tier,category_rank
1,VND-000040,Frazier-Flores,EMEA,Logistics,2024-12-01,6,93.93,96.52,46.93,65.77,95.96,81.13,77.19,0.027,44.94,45,36.43,1,0,0,85.22,75.4,9.82,Improving,1138309.3,0.82,High,False,Approved,1
2,VND-000409,Moore-Sanders,MEA,Raw Materials,2024-12-01,6,94.67,93.67,40.31,83.98,87.87,80.98,9.69,0.035,61.46,52,51.44,1,0,1,82.46,75.72,6.74,Improving,1034035.17,0.79,Low,False,Strategic Partner,1
5,VND-001043,"Weaver, Lee and Brady",MEA,Services,2024-12-01,6,96.49,92.86,30.59,59.91,93.96,76.72,86.59,0.0,22.22,20,56.11,1,0,1,78.86,73.85,5.01,Improving,459509.54,0.28,High,False,Approved,2
7,VND-000924,Shah Group,MEA,Electronics,2024-12-01,6,82.93,89.36,43.81,70.93,95.71,76.51,78.07,0.032,53.12,60,75.88,1,0,0,77.61,75.18,2.43,Improving,778820.0,0.66,High,False,Approved,1
8,VND-000694,Larson LLC,EMEA,Services,2024-12-01,6,97.32,99.02,19.78,66.22,90.39,76.45,79.99,0.0,8.55,7,50.84,0,0,1,77.34,75.02,2.31,Improving,631845.15,0.53,High,False,Approved,3
9,VND-000563,Perry Group,MEA,Electronics,2024-12-01,6,92.79,94.04,35.96,53.6,96.82,76.4,13.72,0.212,38.0,39,57.83,0,0,1,77.07,73.18,3.89,Improving,743690.89,0.64,Low,False,Strategic Partner,2
10,VND-000475,Snyder-Patterson,APAC,Services,2024-12-01,6,84.52,87.95,38.86,72.78,95.38,75.94,13.12,0.068,30.99,29,50.89,2,0,0,77.65,70.66,6.99,Improving,369848.84,0.17,Medium,False,Preferred,4
11,VND-000885,James-Fox,APAC,Services,2024-12-01,6,85.29,85.35,36.18,74.72,98.25,75.84,69.87,0.17,48.33,59,54.11,2,0,0,78.64,72.66,5.98,Improving,1715221.12,0.95,Medium,False,Strategic Partner,5
12,VND-000417,"Watkins, Cole and Branch",APAC,Logistics,2024-12-01,6,88.79,87.28,48.26,53.36,93.32,75.75,12.98,0.104,25.17,33,72.64,0,0,0,78.3,70.65,7.65,Improving,670073.8,0.58,Low,False,Preferred,2
14,VND-001007,Wilson-Clark,EMEA,Logistics,2024-12-01,6,81.36,72.18,60.59,65.53,98.8,75.61,13.94,0.202,27.24,29,83.44,0,0,0,77.18,70.35,6.83,Improving,671969.66,0.59,Low,False,Preferred,3
24,VND-000608,"Camacho, Miller and Holden",EMEA,Raw Materials,2024-12-01,6,90.33,88.39,35.62,51.75,97.87,74.34,82.85,0.162,61.69,57,47.73,0,0,0,75.56,70.7,4.86,Improving,228862.18,0.04,High,False,Approved,5
25,VND-000049,"Grant, Casey and Martinez",MEA,Raw Materials,2024-12-01,6,78.58,75.2,58.64,63.32,95.65,74.19,12.35,0.076,31.49,33,68.39,0,0,0,77.64,65.18,12.46,Improving,1158435.73,0.83,Medium,False,Preferred,6
36,VND-000591,Herring-Berry,EMEA,Logistics,2024-12-01,6,96.25,91.72,19.08,52.03,96.13,73.26,78.8,0.062,34.63,42,62.9,0,0,1,74.49,70.48,4.01,Improving,642661.85,0.55,High,False,Approved,6
39,VND-000309,"Jones, Sanchez and Luna",APAC,Services,2024-12-01,6,90.35,84.61,32.62,57.28,93.47,73.17,79.24,0.158,31.55,27,40.12,0,0,0,74.79,70.3,4.49,Improving,876306.93,0.72,High,False,Approved,9
