snapshot_month,supplier_count,spend_weighted_supplier_score,unweighted_supplier_score,procurement_spend_usd
2021-01-01,460.0,67.01,67.78,40841026.14
2021-02-01,460.0,68.27,68.16,25148346.83
2021-03-01,460.0,67.15,67.92,36983672.42
2021-04-01,460.0,67.31,68.22,35978694.0
2021-05-01,460.0,68.66,67.84,25880163.85
2021-06-01,460.0,70.58,67.83,31592423.82
2021-07-01,460.0,67.74,67.61,31402432.51
2021-08-01,460.0,68.28,68.0,36601784.36
2021-09-01,460.0,68.27,67.96,35462173.25
2021-10-01,460.0,68.89,67.88,28462317.42
2021-11-01,460.0,67.5,67.71,36421293.75
2021-12-01,460.0,67.71,67.93,36400616.85
2022-01-01,460.0,67.35,67.4,27173408.14
2022-02-01,460.0,67.85,67.64,39343394.27
2022-03-01,460.0,68.21,67.67,31525613.67
2022-04-01,460.0,67.63,67.64,32517523.4
2022-05-01,460.0,68.17,67.81,32064365.9
2022-06-01,460.0,67.55,67.75,33587811.96
2022-07-01,460.0,67.77,67.67,25475713.47
2022-08-01,460.0,69.89,67.48,37368782.09
2022-09-01,460.0,67.12,68.02,30213532.41
2022-10-01,460.0,67.92,67.43,27512148.8
2022-11-01,460.0,68.91,67.47,32226349.97
2022-12-01,460.0,68.31,67.74,29837542.44
2023-01-01,460.0,67.65,67.45,31534950.23
2023-02-01,460.0,66.8,67.39,28742927.94
2023-03-01,460.0,66.93,67.92,26850656.4
2023-04-01,460.0,67.9,67.64,30921320.59
2023-05-01,460.0,67.88,67.86,31609431.2
2023-06-01,460.0,67.49,67.55,31400889.01
2023-07-01,460.0,67.35,67.41,30709642.42
2023-08-01,460.0,68.76,67.65,31852259.78
2023-09-01,460.0,67.36,67.69,27673792.54
2023-10-01,460.0,67.26,67.61,27390147.96
2023-11-01,460.0,66.31,67.54,35639003.95
2023-12-01,460.0,67.24,67.11,28502780.09
2024-01-01,460.0,67.34,67.79,28060696.07
2024-02-01,460.0,67.73,67.63,32358382.53
2024-03-01,460.0,67.53,67.47,31062506.29
2024-04-01,460.0,66.79,67.19,34929131.53
2024-05-01,460.0,67.12,67.67,26208883.49
2024-06-01,460.0,67.92,67.41,30569421.26
2024-07-01,460.0,69.06,67.55,28312687.56
2024-08-01,460.0,67.39,67.57,27942356.61
2024-09-01,460.0,67.42,67.52,24805310.57
2024-10-01,460.0,67.89,67.58,45106244.14
2024-11-01,460.0,67.51,67.81,32374330.4
2024-12-01,460.0,67.52,67.71,34358930.6
