vendor_record_id,vendor_id,vendor_name,vendor_country,vendor_region,vendor_tier,vendor_category,snapshot_month,on_time_delivery_rate,quality_acceptance_rate,quality_rejection_count,defect_rate_pct,lead_time_avg_days,lead_time_variance_days,contract_lead_time_days,procurement_spend_usd,purchase_order_count,invoice_accuracy_rate,payment_terms_days,days_payable_outstanding,contract_start_date,contract_expiry_date,concentration_risk_pct,financial_stability_score,esg_compliance_score,past_disruption_count,active_dispute_flag,preferred_vendor_flag,vris_score,risk_category,lead_time_inconsistency_flag,contract_expired_flag,contract_renewal_due_flag,year,product_cost_competitiveness_score,cost_benchmark_order_count,otd_score,quality_score,risk_performance_score,cost_efficiency_score,lead_time_score,supplier_score
VR-00012577,VND-000001,Mccoy Inc,Moldova,MEA,Tier-3,Services,2021-01-01,79.35,70.16,2,0.014,28.82,0.19,28,54139.13,12,94.32,15,26.47,2019-12-01,2023-02-22,30.98,51.69,38.94,0,0,0,67.89,Medium,False,False,False,2021,47.141375526609735,29,79.35,70.16,32.11,61.29496286862681,97.58808862892833,68.09
VR-00012578,VND-000001,Mccoy Inc,Moldova,MEA,Tier-3,Services,2021-02-01,77.81,66.0,3,0.417,32.69,5.92,36,15166.98,11,84.46,15,19.07,2019-12-01,2023-04-17,17.51,75.41,60.46,0,0,0,74.6,High,False,False,False,2021,47.141375526609735,29,77.81,66.0,25.400000000000006,58.33696286862681,96.71111111111111,64.88
VR-00012579,VND-000001,Mccoy Inc,Moldova,MEA,Tier-3,Services,2021-03-01,65.16,78.3,3,0.092,24.28,2.87,26,45117.6,9,93.69,15,2.8,2019-12-01,2023-10-01,7.44,50.84,51.19,0,0,0,70.49,High,False,False,False,2021,47.141375526609735,29,65.16,78.3,29.510000000000005,61.10596286862681,97.79230769230769,64.94
VR-00012580,VND-000001,Mccoy Inc,Moldova,MEA,Tier-3,Services,2021-04-01,67.24,78.3,0,0.161,14.48,1.93,20,2475.9,8,85.46,15,22.32,2019-12-01,2024-02-17,30.29,76.59,45.25,1,0,0,71.32,High,True,False,False,2021,47.141375526609735,29,67.24,78.3,28.680000000000007,58.63696286862681,98.07,65.07
VR-00012581,VND-000001,Mccoy Inc,Moldova,MEA,Tier-3,Services,2021-05-01,69.6,80.32,1,0.113,15.73,0.01,15,19350.06,15,86.41,15,19.09,2019-12-01,2024-02-05,43.92,77.02,40.61,0,1,0,69.98,Medium,False,False,False,2021,47.141375526609735,29,69.6,80.32,30.019999999999996,58.92196286862681,96.2740156812884,66.23
VR-00012582,VND-000001,Mccoy Inc,Moldova,MEA,Tier-3,Services,2021-06-01,64.34,77.39,1,0.129,50.32,2.62,59,15334.56,13,95.04,15,19.26,2019-12-01,2022-08-22,8.23,53.5,70.81,0,0,0,72.61,High,False,False,False,2021,47.141375526609735,29,64.34,77.39,27.39,61.51096286862681,99.11186440677966,64.35
VR-00012583,VND-000001,Mccoy Inc,Moldova,MEA,Tier-3,Services,2021-07-01,82.89,76.42,5,0.326,52.49,3.68,57,9841.97,14,91.61,15,22.0,2019-12-01,2024-05-12,12.47,55.2,58.15,0,0,0,75.15,High,False,False,False,2021,47.141375526609735,29,82.89,76.42,24.849999999999994,60.48196286862681,98.70877192982456,69.0
VR-00012584,VND-000001,Mccoy Inc,Moldova,MEA,Tier-3,Services,2021-08-01,73.66,84.23,0,0.273,35.23,0.74,32,5899.26,12,93.17,15,15.9,2019-12-01,2023-08-05,44.56,61.72,77.03,0,0,0,72.36,High,False,False,False,2021,47.141375526609735,29,73.66,84.23,27.64,60.94996286862681,92.20284203803578,67.44
VR-00012585,VND-000001,Mccoy Inc,Moldova,MEA,Tier-3,Services,2021-09-01,87.41,81.62666666666668,0,0.248,35.26,0.01,49,22565.25,14,91.43,15,13.62,2019-12-01,2022-06-21,9.13,81.59,85.95,0,0,0,85.84,High,True,False,False,2021,47.141375526609735,29,87.41,81.62666666666668,14.159999999999997,60.427962868626814,99.99591836734695,69.44
VR-00012586,VND-000001,Mccoy Inc,Moldova,MEA,Tier-3,Services,2021-10-01,66.16,65.69,4,0.098,20.36,1.32,19,3595.17,8,94.38,15,3.26,2019-12-01,2022-05-27,27.04,34.87,66.86,0,0,0,63.72,Medium,False,False,False,2021,47.141375526609735,29,66.16,65.69,36.28,61.31296286862681,93.26671492089753,63.43
