supplier_rank,vendor_id,vendor_name,vendor_region,vendor_category,as_of_month,months_in_dynamic_window,otd_score,quality_score,risk_performance_score,cost_efficiency_score,lead_time_score,dynamic_supplier_score,vris_score,defect_rate_pct,lead_time_avg_days,contract_lead_time_days,financial_stability_score,past_disruption_count,active_dispute_flag,preferred_vendor_flag,recent_3m_score,prior_3m_score,score_change_3m,trend_class,procurement_spend_12m_usd,spend_percentile,supplier_risk_class,replacement_candidate,recommended_tier,category_rank
1,VND-000040,Frazier-Flores,EMEA,Logistics,2024-12-01,6,93.93,96.52,46.93,65.77,95.96,81.13,77.19,0.027,44.94,45,36.43,1,0,0,85.22,75.4,9.82,Improving,1138309.3,0.82,High,False,Approved,1
2,VND-000409,Moore-Sanders,MEA,Raw Materials,2024-12-01,6,94.67,93.67,40.31,83.98,87.87,80.98,9.69,0.035,61.46,52,51.44,1,0,1,82.46,75.72,6.74,Improving,1034035.17,0.79,Low,False,Strategic Partner,1
3,VND-000105,Hernandez and Sons,MEA,Packaging,2024-12-01,6,92.01,93.64,51.92,56.93,95.1,79.52,81.02,0.002,45.8,48,56.72,0,0,0,77.48,85.24,-7.76,Deteriorating,457890.69,0.27,High,False,Approved,1
4,VND-000755,"Keller, Reid and Le",APAC,Services,2024-12-01,6,89.82,95.15,44.47,53.19,97.31,77.45,84.15,0.091,47.66,54,69.12,3,0,1,76.1,78.18,-2.08,Deteriorating,863189.52,0.72,High,False,Approved,1
5,VND-001043,"Weaver, Lee and Brady",MEA,Services,2024-12-01,6,96.49,92.86,30.59,59.91,93.96,76.72,86.59,0.0,22.22,20,56.11,1,0,1,78.86,73.85,5.01,Improving,459509.54,0.28,High,False,Approved,2
6,VND-000300,King-White,Americas,Raw Materials,2024-12-01,6,93.1,96.86,19.5,77.02,93.05,76.71,82.97,0.0,42.36,35,57.25,0,0,1,76.98,77.1,-0.12,Stable,428977.02,0.23,High,False,Approved,2
7,VND-000924,Shah Group,MEA,Electronics,2024-12-01,6,82.93,89.36,43.81,70.93,95.71,76.51,78.07,0.032,53.12,60,75.88,1,0,0,77.61,75.18,2.43,Improving,778820.0,0.66,High,False,Approved,1
8,VND-000694,Larson LLC,EMEA,Services,2024-12-01,6,97.32,99.02,19.78,66.22,90.39,76.45,79.99,0.0,8.55,7,50.84,0,0,1,77.34,75.02,2.31,Improving,631845.15,0.53,High,False,Approved,3
9,VND-000563,Perry Group,MEA,Electronics,2024-12-01,6,92.79,94.04,35.96,53.6,96.82,76.4,13.72,0.212,38.0,39,57.83,0,0,1,77.07,73.18,3.89,Improving,743690.89,0.64,Low,False,Strategic Partner,2
10,VND-000475,Snyder-Patterson,APAC,Services,2024-12-01,6,84.52,87.95,38.86,72.78,95.38,75.94,13.12,0.068,30.99,29,50.89,2,0,0,77.65,70.66,6.99,Improving,369848.84,0.17,Medium,False,Preferred,4
11,VND-000885,James-Fox,APAC,Services,2024-12-01,6,85.29,85.35,36.18,74.72,98.25,75.84,69.87,0.17,48.33,59,54.11,2,0,0,78.64,72.66,5.98,Improving,1715221.12,0.95,Medium,False,Strategic Partner,5
12,VND-000417,"Watkins, Cole and Branch",APAC,Logistics,2024-12-01,6,88.79,87.28,48.26,53.36,93.32,75.75,12.98,0.104,25.17,33,72.64,0,0,0,78.3,70.65,7.65,Improving,670073.8,0.58,Low,False,Preferred,2
13,VND-000343,"Hanna, Davis and Jackson",EMEA,Packaging,2024-12-01,6,98.59,92.08,27.13,54.73,93.29,75.62,78.13,0.164,33.72,34,61.51,0,0,1,73.3,78.98,-5.68,Deteriorating,905757.94,0.74,High,False,Approved,2
14,VND-001007,Wilson-Clark,EMEA,Logistics,2024-12-01,6,81.36,72.18,60.59,65.53,98.8,75.61,13.94,0.202,27.24,29,83.44,0,0,0,77.18,70.35,6.83,Improving,671969.66,0.59,Low,False,Preferred,3
