month,mean,median,std,count
1,-82403186.96157895,-82511393.69,15752680.706333473,19
2,-78694731.188125,-78777145.39,10888673.638221195,16
3,-82865425.12058823,-88708433.34,16158022.551828546,17
4,-77280904.72058824,-79608771.71,14805111.226790637,17
5,-83644531.41,-84591781.17,16323725.548161712,19
6,-83015122.285,-84452931.72,10821072.227327656,16
7,-84317722.11388889,-82636022.265,11325142.027056783,18
8,-79698310.57111111,-83548962.805,14997291.001871271,18
9,-79842696.4564706,-78652206.31,14690098.754396258,17
10,-78472219.7511111,-78299472.74000001,10820356.993702391,18
11,-78919551.48764706,-81383895.34,15237465.61160507,17
12,-72903260.17666668,-74689816.91499999,23847185.180034906,18
