week_start,cash_flow_usd,revenue_usd,procurement_cost_usd,logistics_cost_usd,operational_cost_usd,sla_penalty_usd,transactions,avg_dso,avg_dpo,avg_cash_conversion_cycle,rolling_mean_13w,rolling_std_13w,ci95_lower_mean,ci95_upper_mean,pi95_lower,pi95_upper,forecast_mean,forecast_std,forecast_lower,forecast_upper,trailing_stress_threshold,stress_eligible,stress,stress_reason,severity_rank
2022-06-20,-95595626.87,8283935.13,3724240.6,132826.88,230801.11,350472.23,333,57.95243243243243,68.3442942942943,33.808768768768765,-72930029.47307692,12213625.742511924,-80310649.64219873,-65549409.30395512,-100545781.44784427,-45314277.49830959,-71572713.34769231,10318259.888668394,-94902927.64309555,-48242499.05228907,-92604084.727,True,True,below-prior-52w-p10,16.0
2022-06-27,-93738649.18,7047772.26,2107585.21,116817.04000000001,147009.06,152717.41999999998,334,57.62110778443114,68.40383233532934,34.254041916167665,-75106470.70384616,13245954.979795925,-83110921.18761009,-67102020.22008222,-105056381.98348773,-45156559.42420459,-72930029.47307692,12213625.742511924,-100545781.44784427,-45314277.49830959,-92728579.903,True,True,below-prior-52w-p10,18.0
2022-07-04,-107706744.08,8323771.1,1830658.96,161938.34,144746.32,253278.79,315,58.17212698412699,68.4455238095238,34.43473015873016,-78264778.79769231,15724276.999742104,-87766864.28940693,-68762693.3059777,-113818327.1675238,-42711230.42786083,-75106470.70384616,13245954.979795925,-105056381.98348773,-45156559.42420459,-93638860.846,True,True,below-prior-52w-p10,3.0
2022-09-05,-93461866.95,4644296.79,2075875.95,181485.5,94875.8,209140.34,314,58.584299363057326,69.76700636942675,34.48092356687898,-81381833.61307693,14205668.265904374,-89966233.03136334,-72797434.19479051,-113501715.10752623,-49261952.11862762,-79728357.47153847,13930746.311573569,-111226623.67636974,-48230091.2667072,-92728579.903,True,True,below-prior-52w-p10,19.0
2022-10-17,-93765218.2,6298613.9,2125664.65,170253.68,209930.38,316140.45999999996,327,58.540642201834864,67.98556574923548,36.576941896024465,-77027882.04153846,12156294.983705513,-84373857.5798456,-69681906.50323132,-104514005.6775061,-49541758.40557082,-76021283.48846154,11155452.315515872,-101244440.87074035,-50798126.10618272,-92728579.903,True,True,below-prior-52w-p10,17.0
2022-11-07,-93059537.67,6312568.76,2468119.65,93996.85,162341.61,83824.3,336,57.97193452380952,66.97994047619048,36.55095238095238,-75599018.29307693,14028318.183093522,-84076246.12892054,-67121790.45723332,-107317900.44442686,-43880136.14172701,-74953908.52846155,13334115.966466235,-105103157.17057557,-44804659.88634752,-92604084.727,True,True,below-prior-52w-p10,20.0
2022-12-05,-99531211.98,4481863.0200000005,2774561.48,142226.59,118494.51000000001,446838.18,324,57.940061728395065,67.48407407407407,35.24280864197531,-79624184.62846154,13173577.606182806,-87584897.9030839,-71663471.35383917,-109410446.2564417,-49837923.00048138,-79157311.93384615,12499586.212956758,-107419637.95573735,-50894985.91195493,-93015474.55,True,True,below-prior-52w-p10,13.0
2023-01-02,-99484633.61,7274130.64,1520689.37,132747.98,181357.7,272617.76,306,57.61885620915032,67.16924836601308,36.02091503267974,-83569748.8369231,13144657.920543112,-91512986.12041745,-75626511.55342874,-113290621.29360792,-53848876.38023826,-81424088.88615385,12595435.06171736,-109903134.99512179,-52945042.7771859,-93421634.022,True,True,below-prior-52w-p10,14.0
2023-01-23,-121571825.6,2746464.27,2335412.0,122739.96,230537.37,403955.16,338,58.539201183431956,67.79278106508876,35.61991124260355,-87582603.20923077,16023638.624174416,-97265591.12007353,-77899615.298388,-123813026.45187834,-51352179.966583185,-83853805.58153845,12763506.122819155,-112712870.60015482,-54994740.5629221,-93710970.957,True,True,below-prior-52w-p10,1.0
2023-03-06,-97646673.08,6336786.609999999,2998071.43,117122.31,111601.13,283788.58,313,58.31610223642172,68.60012779552716,34.558274760383384,-85132954.48538461,17203423.0921442,-95528879.01497492,-74737029.9557943,-124030942.29387057,-46234966.67689865,-85277919.01615384,17325166.347365215,-124451175.74245855,-46104662.28984913,-93762561.29800001,True,True,below-prior-52w-p10,15.0
