iso_week,mean,median,std,count
1,-76388352.666,-92356514.9,39361533.927062206,5
2,-71099770.1525,-71415689.91999999,5640848.223546494,4
3,-82940185.7175,-87810442.055,15105683.70750924,4
4,-88723806.795,-79791581.145,22288893.93274198,4
5,-76445719.93,-80995054.59,15044191.632643169,4
6,-80212622.5375,-88232386.66499999,19200293.386743337,4
7,-78803985.35,-77436611.81,10137283.3198191,4
8,-77430821.5125,-76492948.88499999,9136565.065774385,4
9,-79741960.0325,-77456626.53,8318322.7651662575,4
10,-81124120.64750001,-85064649.61500001,18382238.421943314,4
11,-75371535.7625,-83193215.025,22521545.4753395,4
12,-83900556.0625,-78971329.865,11367213.685843084,4
13,-88880413.3025,-93837196.51499999,16249360.279761154,4
14,-75258279.395,-74782928.695,13843939.555445967,4
15,-90728624.49249999,-89167024.97,10587349.818401886,4
16,-71270565.5425,-72376330.485,9269967.684519503,4
17,-74644764.7425,-75319048.06,20836431.752697922,4
18,-83032495.7875,-81530384.61,18760717.81812606,4
19,-73809810.5825,-69900368.53,13903922.431952279,4
20,-95916017.095,-96430088.855,9355930.562421463,4
21,-75733321.42,-69192730.265,21313813.57235169,4
22,-85361490.2025,-81937456.725,13996015.05769065,4
23,-83250722.6675,-81849695.16499999,16671952.669366544,4
24,-78887666.36500001,-79168122.375,6596346.753727352,4
25,-81627619.4425,-83382963.88499999,13370395.478183428,4
26,-88294480.665,-88411573.205,4767301.534926145,4
27,-94773888.27250001,-96103900.805,12228348.635778453,4
28,-78204560.85,-73121320.595,15271605.71100935,4
29,-84839938.34,-83417446.35,5237911.521285631,4
30,-82986275.5775,-82599874.72,5606412.330188605,4
31,-77609300.895,-77968428.845,7531813.590542217,4
32,-85992353.405,-84480105.91,6796379.486645065,4
33,-88644792.795,-85927435.97999999,7732348.509679023,4
34,-87810532.5275,-92008718.41,15395354.556473361,4
35,-57210504.42,-57368431.495000005,2233154.1707959548,4
36,-77173892.5925,-82132056.935,19199408.358779024,4
37,-72586264.4,-73798618.6,5781291.44128706,4
38,-92820621.99000001,-92434436.20500001,9359494.54315803,4
39,-76687669.44749999,-71888281.93,18538769.62583525,4
40,-73159435.775,-74023566.505,6866356.96563563,4
41,-76290470.005,-77159320.765,2764410.2655942845,4
42,-88571723.635,-88408055.57,5423719.964186174,4
43,-82340597.93,-84319117.995,6385746.046579031,4
44,-79076612.2425,-77264590.47,23952869.775524784,4
45,-80646508.3075,-80182331.02,11640751.370225037,4
46,-68952865.3725,-74790735.63,18730834.237900823,4
47,-74745503.455,-79401431.42500001,14565775.050954944,4
48,-84812377.49,-84577882.31,10346022.497473417,4
49,-83850619.605,-91210312.85499999,20806058.886928413,4
50,-78992239.5225,-75563274.08,23810593.66047353,4
51,-77510630.6775,-74641558.215,8326985.6443217015,4
52,-75363693.575,-75461289.805,12382881.676629944,4
53,-42234673.45,-42234673.45,,1
