finance_record_id,record_date,fiscal_week,fiscal_quarter,fiscal_year,order_id,vendor_id,shipment_id,transaction_type,revenue_usd,procurement_cost_usd,logistics_cost_usd,operational_cost_usd,sla_penalty_usd,gross_profit_usd,ebitda_usd,accounts_receivable_usd,accounts_payable_usd,inventory_value_usd,working_capital_usd,working_capital_ratio,cash_flow_usd,cash_position_usd,days_sales_outstanding,days_payable_outstanding,cash_conversion_cycle,financial_risk_score,risk_flag,cash_flow_sign_issue_flag,procurement_gt_revenue_flag
FIN-0000000684,2021-01-01,53,Q1,2021,,,,Revenue,19046.9,0.0,0.0,0.0,0.0,19046.9,19046.9,117194.64,96579.58,61951.35,82566.41,1.8549,944763.64,944763.64,83.8,61.49,55.75,23.22,0,False,False
FIN-0000004337,2021-01-01,53,Q1,2021,,,,Revenue,2346.99,0.0,0.0,0.0,0.0,2346.99,2346.99,35115.56,79842.2,174552.97,129826.33,2.626,27541.31,972304.95,30.85,51.68,9.46,28.74,0,True,False
FIN-0000005612,2021-01-01,53,Q1,2021,,,,Operational Expense,0.0,0.0,0.0,1304.82,0.0,0.0,-1304.82,49063.98,7330.96,76210.32,117943.34,17.0884,-1300154.76,-327849.81,71.62,56.55,55.1,23.03,0,True,False
FIN-0000008303,2021-01-01,53,Q1,2021,ORD-00085325,,,COGS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69557.03,1559655.32,5247.71,-1484850.58,0.048,-526501.26,-854351.07,48.36,84.42,6.08,42.53,1,True,False
FIN-0000009231,2021-01-01,53,Q1,2021,ORD-00025553,,,Revenue,7203.28,0.0,0.0,0.0,0.0,7203.28,7203.28,108622.89,542048.65,32284.39,-401141.37,0.26,793306.62,-61044.45,49.01,87.99,-0.54,38.1,1,False,False
FIN-0000009996,2021-01-01,53,Q1,2021,ORD-00055158,,,COGS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1241.86,62139.68,111822.23,50924.41,1.8195,-1526514.67,-1587559.12,60.28,75.23,9.32,20.0,0,False,False
FIN-0000010730,2021-01-01,53,Q1,2021,ORD-00027567,,,Revenue,1783.0,0.0,0.0,0.0,0.0,1783.0,1783.0,308593.85,38597.14,51814.85,321811.56,9.3377,950301.83,-637257.29,58.8,68.04,29.52,20.36,0,True,False
FIN-0000010946,2021-01-01,53,Q1,2021,,VND-000961,,Procurement,0.0,25983.62,0.0,0.0,0.0,-25983.62,0.0,279239.91,218308.57,214963.59,275894.93,2.2638,-647733.14,-1284990.43,71.98,72.4,46.59,20.48,0,True,False
FIN-0000012293,2021-01-01,53,Q1,2021,,VND-001025,,Procurement,0.0,12907.09,0.0,0.0,0.0,-12907.09,0.0,15310.48,37741.51,22794.09,363.06,1.0096,-429063.23,-1714053.66,51.7,62.05,40.72,22.49,0,True,False
FIN-0000012647,2021-01-01,53,Q1,2021,,,,COGS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15132.43,38507.39,337152.66,313777.7,9.1485,-1314829.99,-3028883.65,76.81,51.74,61.23,72.72,1,False,False
FIN-0000014233,2021-01-01,53,Q1,2021,ORD-00024244,,SHP-00041505,Logistics Cost,0.0,0.0,1459.9,0.0,0.0,0.0,-1459.9,6117.4,478349.85,46525.2,-425707.25,0.1101,-164315.32,-3193198.97,62.72,67.28,40.34,37.8,1,False,False
FIN-0000015116,2021-01-01,53,Q1,2021,ORD-00034128,,,Interest Expense,0.0,0.0,0.0,0.0,0.0,0.0,-63365.85,325077.99,54248.75,31082.7,301911.94,6.5653,-765996.64,-3959195.61,50.99,75.13,29.68,22.7,0,True,False
FIN-0000015844,2021-01-01,53,Q1,2021,ORD-00001885,,SHP-00075920,Logistics Cost,0.0,0.0,7597.09,0.0,0.0,0.0,-7597.09,143722.92,63726.58,144475.29,224471.63,4.5224,-700080.79,-4659276.4,66.52,58.4,66.64,26.49,0,False,False
FIN-0000015865,2021-01-01,53,Q1,2021,,,,COGS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59466.4,36621.49,298266.35,321111.26,9.7684,-72395.69,-4731672.09,63.93,59.64,59.97,24.49,0,True,False
FIN-0000016596,2021-01-01,53,Q1,2021,,,,COGS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88845.26,42760.96,58092.87,104177.17,3.4363,-260793.87,-4992465.96,42.63,67.73,28.54,25.21,0,False,False
FIN-0000018306,2021-01-01,53,Q1,2021,,,,Revenue,10243.09,0.0,0.0,0.0,0.0,10243.09,10243.09,42640.41,341580.71,318327.09,19386.79,1.0568,69094.27,-4923371.69,71.86,74.89,42.61,20.0,0,True,False
FIN-0000018885,2021-01-01,53,Q1,2021,ORD-00014795,,,SLA Penalty,0.0,0.0,0.0,0.0,45227.82,0.0,0.0,135826.98,21712.57,58341.17,172455.58,8.9427,-1532606.25,-6455977.94,57.53,60.34,51.96,22.83,0,True,False
FIN-0000019295,2021-01-01,53,Q1,2021,ORD-00050128,,,COGS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31668.51,425432.31,1136559.74,742795.94,2.746,-500822.57,-6956800.51,62.24,63.05,31.98,20.0,0,True,False
FIN-0000019465,2021-01-01,53,Q1,2021,ORD-00085052,,,SLA Penalty,0.0,0.0,0.0,0.0,26159.8,0.0,0.0,12721.83,6389.76,285844.23,292176.3,46.7257,-1173266.0,-8130066.51,40.44,56.54,46.01,26.17,0,True,False
FIN-0000019958,2021-01-01,53,Q1,2021,,,SHP-00008615,Logistics Cost,0.0,0.0,1440.43,0.0,0.0,0.0,-1440.43,17587.37,79660.13,141646.24,79573.48,1.9989,-888755.61,-9018822.12,43.16,53.52,29.33,25.05,0,True,False
